borough,easting,latitude,longtitude,northing,numberrcpoints,objectid,siteid,sitename,taxipublicuses,url,runtime
Lewisham,538086.41877251875,51.430613,-0.015022,172047.52784933592,1,101,985,Outside Catford Police Stn Bromley Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Greenwich,543634.45612850797,51.434498,0.064969,172633.22329461516,1,102,1027,Outside 733 - 741 Sidcup Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Greenwich,540299.71068154264,51.473838,0.018725,176918.25898563641,1,103,1028,Outside 30 Shooters Hill Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lambeth,531264.66732795245,51.489028,-0.110750,178367.477572623,1,104,1030,Outside 173 Kennington Lane,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lambeth,530432.11504567193,51.476667,-0.123250,176970.57717181649,1,105,1031,Opposite 195 South Lambeth Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lambeth,531618.34428023559,51.488750,-0.105667,178345.68217794684,1,106,1032,Outside Penryn House Kennington Park Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,526988.16515640146,51.450109,-0.173905,173928.29533698031,1,107,1034,320 Trinity Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Haringey,528837.70820981835,51.574807,-0.142220,187850.5372752166,1,108,1035,254 Archway Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lambeth,529970.0074342445,51.426953,-0.131935,171426.83184785891,1,109,1038,16 Gleneagle Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lambeth,530590.290748036,51.471147,-0.121199,176360.39057832526,1,110,1039,Morant House Stockwell Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hackney,533673.70296618377,51.572230,-0.072538,187688.94425091287,1,111,1044,150 â 154 Stamford Hill,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,532462.54794909351,51.325761,-0.100274,160230.79206529283,1,112,1045,74 Godstone Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,532037.44392454845,51.328179,-0.106276,160488.86404878998,1,113,1046,38 Godstone Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,527574.09769183106,51.526212,-0.162415,182411.18704561895,1,114,1048,Hanover Gate Mansions - Park Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Wandsworth,528593.21027633501,51.461318,-0.150352,175215.83025206981,1,115,1050,Salcombe Gardens Clapham Common North Side,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,530771.21167269803,51.332135,-0.124290,160896.53520698164,1,116,1052,116 Brighton Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,533227.99289637455,51.320621,-0.089501,159678.71363150387,1,117,1054,302 Godstone Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hackney,534568.60699065775,51.564615,-0.059948,186865.20239276462,1,118,1070,156 Upper Clapton Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lambeth,530416.6509696967,51.442172,-0.124887,173131.73243609432,1,119,1081,Outside 2-4 Telford Avenue,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lambeth,530462.63049156498,51.415925,-0.125300,170212.27772738499,1,120,1084,Hepworth Road at junction with Streatham High Road,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,530971.42842466722,51.391335,-0.118992,167489.07200510468,1,121,1085,Thornton Road outside ATS / Sainsburys,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Lewisham,536856.77192082559,51.472046,-0.030930,176625.08156652411,1,122,1087,145 Lewisham Way,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Havering,553898.93611317012,51.553668,0.218431,186196.51091673627,1,123,592,Hornchurch Station Car Park,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Croydon,531218.4296241313,51.3394156,-0.1175719,161718.126575314,1,124,1128,"Outside 10, 11 & 12 Russell Parade Russell Hill Road Purley CR8 2LE ",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Enfield,530016.62488535198,51.6136503,-0.1236063,192203.03436226299,1,125,1133,186 Bowes Road opp Warwick Road (A406),Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Merton,526979.01718093839,51.421076,-0.175194,170697.51086353703,1,126,1107,"13 â 27 High Street, Colliers Wood â A24",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Southwark,532225.52929260954,51.5049784,-0.0962448,180167.29393642669,1,127,1135,"OUTSIDE 64 SOUTHWARK STREET, LONDON, SE1 ",Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Greenwich,537541.37063379702,51.474525,-0.020965,176919.4073084523,1,128,738,"17A, Greenwich High Road",Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Redbridge,543609.68710165587,51.577799,0.071101,188580.38536239794,2,129,101,Cranbrook Road,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Hillingdon,508541.47842069081,51.479763,-0.438375,176801.09276286978,7,130,108,Heathrow,Taxi,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Brent,519445.71165898745,51.564341,-0.278155,186456.0930629872,1,131,454,"21 Bridge Road, HA9 9AB (north of Chalkhill road)",Public Use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,528839.62016955821,51.489703,-0.145654,178380.58372333657,2,132,462,Qpark: Pimlico,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,528021.4834333621,51.500165,-0.157017,179524.07570122735,2,133,464,Qpark: Knightsbridge,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,528760.94385389867,51.517998,-0.145639,181527.11628826539,2,134,467,Qpark: Harley Street,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
Westminster,528741.91482352489,51.516281,-0.145983,181335.57456224947,2,135,468,Qpark: Oxford Street,Public use,https://tfl.gov.uk/modes/driving/electric-vehicles-and-rapid-charging,08/29/2019
